iter	Passed	Remaining
402	12104	17931
403	12143	17914
404	12170	17880
405	12199	17848
406	12230	17819
407	12269	17803
408	12304	17779
409	12333	17747
410	12367	17723
411	12401	17699
412	12435	17674
413	12464	17642
414	12492	17609
415	12518	17573
416	12544	17538
417	12570	17502
418	12595	17466
419	12621	17429
420	12648	17395
421	12678	17364
422	12705	17331
423	12733	17298
424	12775	17285
425	12800	17248
426	12831	17218
427	12856	17182
428	12882	17146
429	12914	17119
430	12942	17086
431	12969	17052
432	12995	17016
433	13023	16985
434	13049	16949
435	13085	16926
436	13109	16889
437	13142	16863
438	13180	16843
439	13221	16827
440	13250	16795
441	13275	16760
442	13299	16722
443	13337	16702
444	13359	16661
445	13386	16627
446	13418	16600
447	13439	16558
448	13465	16524
449	13495	16494
450	13523	16461
451	13555	16433
452	13579	16397
453	13604	16361
454	13631	16327
455	13655	16291
456	13678	16252
457	13708	16223
458	13741	16196
459	13764	16158
460	13793	16127
461	13824	16099
462	13851	16065
463	13880	16034
464	13908	16002
465	13938	15972
466	13970	15944
467	13996	15910
468	14021	15875
469	14049	15843
470	14084	15818
471	14112	15786
472	14140	15754
473	14163	15717
474	14187	15681
475	14223	15657
476	14248	15622
477	14275	15589
478	14298	15552
479	14322	15515
480	14356	15490
481	14380	15454
482	14407	15422
483	14440	15394
484	14466	15361
485	14494	15329
486	14516	15291
487	14546	15262
488	14573	15229
489	14597	15193
490	14622	15158
491	14653	15130
492	14673	15090
493	14706	15063
494	14731	15029
495	14755	14993
496	14782	14960
497	14816	14935
498	14845	14905
499	14873	14873
500	14900	14841
501	14925	14806
502	14952	14774
503	14979	14741
504	15006	14709
505	15032	14676
506	15059	14643
507	15086	14611
508	15122	14587
509	15148	14554
510	15171	14518
511	15198	14486
512	15223	14452
513	15250	14419
514	15278	14388
515	15308	14358
516	15340	14331
517	15366	14298
518	15392	14265
519	15427	14240
520	15459	14213
521	15490	14184
522	15519	14154
523	15542	14118
524	15566	14083
525	15590	14049
526	15625	14024
527	15653	13993
528	15676	13958
529	15709	13931
530	15741	13903
531	15771	13874
532	15813	13855
533	15855	13836
534	15885	13807
535	15912	13775
536	15945	13747
537	15974	13717
538	15998	13683
539	16024	13650
540	16049	13616
541	16076	13585
542	16101	13551
543	16136	13526
544	16163	13494
545	16187	13460
546	16223	13435
547	16276	13425
548	16313	13401
549	16348	13375
550	16377	13345
551	16416	13323
552	16442	13290
553	16472	13261
554	16505	13234
555	16538	13206
556	16566	13175
557	16598	13147
558	16636	13124
559	16672	13100
560	16705	13072
561	16734	13042
562	16766	13014
563	16805	12991
564	16835	12962
565	16867	12933
566	16898	12904
567	16928	12874
568	16964	12850
569	16997	12822
570	17029	12794
571	17061	12766
572	17097	12740
573	17125	12710
574	17146	12673
575	17169	12638
576	17196	12606
577	17232	12581
578	17256	12547
579	17287	12518
580	17312	12485
581	17339	12453
582	17365	12421
583	17397	12392
584	17422	12359
585	17449	12327
586	17473	12294
587	17500	12262
588	17526	12229
589	17560	12202
590	17588	12171
591	17612	12138
592	17634	12103
593	17658	12069
594	17687	12039
595	17714	12008
596	17752	11983
597	17784	11955
598	17810	11923
599	17836	11891
600	17863	11859
601	17889	11826
602	17913	11793
603	17935	11759
604	17968	11731
605	17998	11701
606	18022	11668
607	18056	11641
608	18087	11612
609	18113	11580
610	18138	11548
611	18163	11515
612	18192	11485
613	18219	11454
614	18241	11419
615	18268	11388
616	18290	11353
617	18315	11321
618	18345	11292
619	18377	11263
620	18403	11231
621	18426	11197
622	18451	11165
623	18475	11132
624	18506	11103
625	18533	11072
626	18556	11039
627	18585	11009
628	18611	10977
629	18650	10953
630	18681	10924
631	18712	10895
632	18740	10865
633	18769	10835
634	18798	10805
635	18827	10775
636	18855	10745
637	18880	10712
638	18905	10680
639	18935	10650
640	18958	10618
641	18990	10589
642	19013	10556
643	19041	10525
644	19067	10494
645	19095	10464
646	19121	10432
647	19143	10398
648	19167	10366
649	19197	10337
650	19228	10308
651	19251	10275
652	19283	10247
653	19311	10216
654	19341	10187
655	19367	10156
656	19400	10128
657	19429	10098
658	19456	10067
659	19482	10036
660	19506	10003
661	19532	9972
662	19556	9940
663	19582	9909
664	19612	9880
665	19643	9851
666	19671	9821
667	19697	9789
668	19721	9757
669	19748	9727
670	19779	9698
671	19806	9667
672	19830	9635
673	19857	9604
674	19881	9572
675	19908	9541
676	19939	9513
677	19964	9481
678	19988	9449
679	20017	9419
680	20045	9389
681	20079	9362
682	20112	9335
683	20138	9303
684	20163	9272
685	20190	9241
686	20215	9210
687	20253	9184
688	20294	9160
689	20330	9133
690	20366	9107
691	20388	9074
692	20419	9045
693	20443	9014
694	20473	8984
695	20505	8956
696	20534	8926
697	20563	8897
698	20593	8867
699	20616	8835
700	20645	8805
701	20685	8781
702	20713	8750
703	20741	8720
704	20784	8697
705	20812	8667
706	20837	8635
707	20863	8604
708	20887	8573
709	20912	8541
710	20935	8509
711	20963	8479
712	20987	8447
713	21012	8416
714	21038	8386
715	21075	8359
716	21111	8332
717	21138	8302
718	21161	8270
719	21190	8240
720	21217	8210
721	21247	8181
722	21273	8150
723	21297	8119
724	21323	8088
725	21349	8057
726	21377	8027
727	21408	7998
728	21428	7966
729	21454	7935
730	21480	7904
731	21508	7874
732	21532	7843
733	21563	7814
734	21589	7783
735	21612	7752
736	21639	7722
737	21664	7691
738	21688	7659
739	21717	7630
740	21748	7601
741	21773	7570
742	21802	7541
743	21828	7510
744	21851	7479
745	21881	7450
746	21910	7420
747	21943	7392
748	21973	7363
749	22001	7333
750	22033	7305
751	22055	7273
752	22078	7242
753	22104	7211
754	22132	7181
755	22159	7152
756	22186	7122
757	22216	7092
758	22239	7061
759	22265	7031
760	22290	7000
761	22322	6972
762	22346	6941
763	22377	6912
764	22402	6881
765	22431	6852
766	22455	6821
767	22484	6792
768	22513	6762
769	22536	6731
770	22565	6702
771	22594	6672
772	22621	6642
773	22647	6612
774	22672	6582
775	22702	6553
776	22725	6522
777	22752	6492
778	22778	6462
779	22802	6431
780	22836	6403
781	22867	6374
782	22897	6345
783	22922	6315
784	22948	6285
785	22981	6257
786	23003	6225
787	23025	6194
788	23053	6165
789	23085	6136
790	23113	6107
791	23139	6077
792	23161	6045
793	23186	6015
794	23217	5986
795	23240	5956
796	23268	5926
797	23294	5896
798	23319	5866
799	23348	5837
800	23376	5807
801	23400	5777
802	23426	5747
803	23450	5716
804	23475	5686
805	23510	5658
806	23532	5628
807	23558	5598
808	23583	5567
809	23619	5540
810	23643	5509
811	23666	5479
812	23692	5449
813	23721	5420
814	23742	5389
815	23765	5358
816	23787	5328
817	23820	5299
818	23844	5269
819	23869	5239
820	23897	5210
821	23929	5181
822	23956	5152
823	23980	5121
824	24009	5092
825	24036	5063
826	24065	5034
827	24092	5004
828	24122	4975
829	24148	4946
830	24174	4916
831	24197	4886
832	24221	4855
833	24252	4827
834	24277	4797
835	24305	4768
836	24328	4737
837	24357	4708
838	24386	4679
839	24411	4649
840	24430	4618
841	24460	4589
842	24487	4560
843	24512	4530
844	24541	4501
845	24571	4472
846	24597	4443
847	24624	4413
848	24649	4384
849	24673	4354
850	24701	4324
851	24728	4295
852	24754	4266
853	24789	4238
854	24818	4208
855	24842	4179
856	24868	4149
857	24892	4119
858	24921	4090
859	24947	4061
860	24977	4032
861	25005	4003
862	25029	3973
863	25054	3943
864	25085	3915
865	25113	3885
866	25140	3856
867	25163	3826
868	25190	3797
869	25218	3768
870	25255	3740
871	25280	3710
872	25309	3681
873	25334	3652
874	25367	3623
875	25398	3595
876	25427	3566
877	25460	3537
878	25488	3508
879	25513	3479
880	25538	3449
881	25569	3420
882	25594	3391
883	25622	3362
884	25650	3333
885	25676	3303
886	25701	3274
887	25728	3245
888	25756	3215
889	25785	3187
890	25813	3157
891	25840	3128
892	25868	3099
893	25894	3070
894	25927	3041
895	25955	3012
896	25986	2984
897	26017	2955
898	26050	2926
899	26084	2898
900	26121	2870
901	26152	2841
902	26180	2812
903	26222	2784
904	26247	2755
905	26276	2726
906	26301	2696
907	26329	2667
908	26356	2638
909	26385	2609
910	26412	2580
911	26437	2550
912	26460	2521
913	26486	2492
914	26514	2463
915	26547	2434
916	26573	2405
917	26605	2376
918	26639	2347
919	26664	2318
920	26688	2289
921	26716	2260
922	26741	2230
923	26764	2201
924	26790	2172
925	26814	2142
926	26838	2113
927	26862	2084
928	26885	2054
929	26908	2025
930	26932	1996
931	26958	1966
932	26986	1937
933	27014	1908
934	27043	1880
935	27064	1850
936	27097	1821
937	27120	1792
938	27144	1763
939	27174	1734
940	27208	1705
941	27231	1676
942	27253	1647
943	27277	1618
944	27302	1589
945	27333	1560
946	27360	1531
947	27389	1502
948	27412	1473
949	27438	1444
950	27464	1415
951	27497	1386
952	27518	1357
953	27546	1328
954	27574	1299
955	27603	1270
956	27641	1241
957	27670	1213
958	27698	1184
959	27727	1155
960	27753	1126
961	27779	1097
962	27808	1068
963	27832	1039
964	27857	1010
965	27884	981
966	27908	952
967	27933	923
968	27965	894
969	27986	865
970	28014	836
971	28045	807
972	28070	778
973	28096	750
974	28123	721
975	28150	692
976	28178	663
977	28202	634
978	28228	605
979	28265	576
980	28291	547
981	28319	519
982	28342	490
983	28368	461
984	28395	432
985	28426	403
986	28449	374
987	28476	345
988	28504	317
989	28526	288
990	28545	259
991	28575	230
992	28596	201
993	28622	172
994	28647	143
995	28674	115
996	28703	86
997	28726	57
998	28758	28
999	28783	0
